path,file,round,subject,session,task
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1436_S2_1_VRG.csv,S_1436_S2_1_VRG.csv,1,436,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1094_S2_1_VRG.csv,S_1094_S2_1_VRG.csv,1,94,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1248_S1_1_VRG.csv,S_1248_S1_1_VRG.csv,1,248,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1013_S2_1_VRG.csv,S_1013_S2_1_VRG.csv,1,13,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1231_S2_1_VRG.csv,S_1231_S2_1_VRG.csv,1,231,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1114_S2_1_VRG.csv,S_1114_S2_1_VRG.csv,1,114,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1439_S2_1_VRG.csv,S_1439_S2_1_VRG.csv,1,439,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1437_S1_1_VRG.csv,S_1437_S1_1_VRG.csv,1,437,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1213_S2_1_VRG.csv,S_1213_S2_1_VRG.csv,1,213,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3285_S2_1_VRG.csv,S_3285_S2_1_VRG.csv,3,285,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1305_S1_1_VRG.csv,S_1305_S1_1_VRG.csv,1,305,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1190_S2_1_VRG.csv,S_1190_S2_1_VRG.csv,1,190,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1108_S2_1_VRG.csv,S_1108_S2_1_VRG.csv,1,108,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1124_S1_1_VRG.csv,S_1124_S1_1_VRG.csv,1,124,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1273_S2_1_VRG.csv,S_1273_S2_1_VRG.csv,1,273,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3151_S1_1_VRG.csv,S_3151_S1_1_VRG.csv,3,151,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1187_S2_1_VRG.csv,S_1187_S2_1_VRG.csv,1,187,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1123_S2_1_VRG.csv,S_1123_S2_1_VRG.csv,1,123,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1256_S2_1_VRG.csv,S_1256_S2_1_VRG.csv,1,256,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1144_S2_1_VRG.csv,S_1144_S2_1_VRG.csv,1,144,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1145_S1_1_VRG.csv,S_1145_S1_1_VRG.csv,1,145,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1062_S1_1_VRG.csv,S_1062_S1_1_VRG.csv,1,62,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1344_S2_1_VRG.csv,S_1344_S2_1_VRG.csv,1,344,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1094_S1_1_VRG.csv,S_1094_S1_1_VRG.csv,1,94,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1208_S2_1_VRG.csv,S_1208_S2_1_VRG.csv,1,208,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1135_S1_1_VRG.csv,S_1135_S1_1_VRG.csv,1,135,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1436_S1_1_VRG.csv,S_1436_S1_1_VRG.csv,1,436,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2199_S2_1_VRG.csv,S_2199_S2_1_VRG.csv,2,199,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3376_S2_1_VRG.csv,S_3376_S2_1_VRG.csv,3,376,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1329_S2_1_VRG.csv,S_1329_S2_1_VRG.csv,1,329,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1133_S2_1_VRG.csv,S_1133_S2_1_VRG.csv,1,133,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2072_S1_1_VRG.csv,S_2072_S1_1_VRG.csv,2,72,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1417_S1_1_VRG.csv,S_1417_S1_1_VRG.csv,1,417,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1250_S1_1_VRG.csv,S_1250_S1_1_VRG.csv,1,250,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1245_S1_1_VRG.csv,S_1245_S1_1_VRG.csv,1,245,1,VRG
