valid_frac,corr,ddem,n_conv,n_div,conv_latency_ms,conv_gain,conv_peakvel,conv_settle_ms,div_latency_ms,div_gain,div_peakvel,div_settle_ms,subject,round,session,file
0.8635119280406727,0.4651497912602709,1.8915089659652935,12,11,472.0,0.6039549685498866,132.78102568302597,528.0,48.0,0.4607310215869932,149.07264664706142,168.0,284,3,2,S_3284_S2_1_VRG.csv
0.9658081705150977,0.6690253352859241,1.923593062847587,12,11,184.0,1.0762512525574437,28.072658040917187,360.0,168.0,1.0456259733641051,35.167421973190336,388.0,139,1,2,S_1139_S2_1_VRG.csv
0.9235309548793285,0.14704577714141745,1.8547993167419454,12,11,300.0,0.39341884699540625,132.55399887767143,996.0,100.0,0.799968963543694,99.61408987109166,376.0,321,1,1,S_1321_S1_1_VRG.csv
0.6321794119564509,0.5456711825110389,1.6500124899808117,10,6,200.0,1.266365907266183,173.69996151952782,540.0,196.0,1.3617155073144052,470.22187444485917,320.0,101,1,1,S_1101_S1_1_VRG.csv
0.939704433497537,0.5230156551889142,1.9431888339507672,11,11,296.0,1.3366796659827174,28.000141140543278,812.0,288.0,1.4395039684879738,41.18251830041142,1040.0,22,1,1,S_1022_S1_1_VRG.csv
0.9668860551213493,0.7245126713098532,1.7585781386188,11,11,220.0,1.023028386074874,14.178520589970045,544.0,176.0,1.1046565988031998,17.669180577088326,352.0,308,2,1,S_2308_S1_1_VRG.csv
0.7690689467969598,0.6491876635566185,1.7460233783597259,11,10,204.0,1.1973426087843608,91.36809098626708,396.0,84.0,1.3004989591047438,82.8727562994297,336.0,220,1,1,S_1220_S1_1_VRG.csv
0.9645767613038907,0.7340148083585807,1.8590041557792158,12,11,232.0,1.178783189911674,17.24384692800218,420.0,200.0,1.1150488686996958,22.243033397848833,428.0,435,1,1,S_1435_S1_1_VRG.csv
0.85546875,0.6316967984246599,1.7667820265081353,12,11,292.0,1.0171317565342415,61.082935248427894,520.0,200.0,1.1011156224365095,44.51890602274311,1236.0,192,1,2,S_1192_S2_1_VRG.csv
0.9657649191112304,0.6494975865638165,1.8176501298518195,12,11,308.0,1.1773020926248157,17.326348444520743,692.0,232.0,1.1685364245845145,12.742204578923833,484.0,247,1,1,S_1247_S1_1_VRG.csv
0.8937512721351516,0.45694967741854525,1.605077139790274,12,11,268.0,1.2070220913117318,47.81256076283602,732.0,184.0,1.32261776685733,42.63799077714003,492.0,150,1,1,S_1150_S1_1_VRG.csv
0.8537907330292815,0.6784630019561736,1.7554280080847668,12,10,228.0,1.403309932938271,40.158741563958486,652.0,216.0,1.4155563541949705,66.7878401347759,528.0,401,1,1,S_1401_S1_1_VRG.csv
0.9254530477759473,0.5715355897206013,1.9256210137453529,12,11,196.0,0.8807929397968238,61.004487584373045,316.0,220.0,1.124508072733391,34.34833152570871,420.0,298,3,2,S_3298_S2_1_VRG.csv
0.9428249635616801,0.6905834966764954,1.7715727909997625,12,11,208.0,1.045356867609088,25.8164044204634,492.0,272.0,1.1007861317791783,24.334980144197658,684.0,147,3,1,S_3147_S1_1_VRG.csv
0.8154018012986106,0.7244330447195673,1.7186380821946692,11,11,192.0,1.5007210476081871,117.57934894864808,336.0,200.0,1.473217234500096,42.7559482500569,552.0,119,1,1,S_1119_S1_1_VRG.csv
0.8743889190657251,0.6612238460076283,1.7207585213071646,12,11,232.0,1.058204563287757,30.12460775702186,472.0,204.0,0.9707571426717759,50.83921457785401,420.0,433,1,1,S_1433_S1_1_VRG.csv
0.8582946986494658,0.7792625452461237,1.8419945805127016,11,11,180.0,1.1041687164645853,32.42017484286763,412.0,168.0,1.0443871025548361,36.818471627863005,308.0,420,1,2,S_1420_S2_1_VRG.csv
0.9770754654475585,0.1230270623449141,1.8007620154145254,12,11,308.0,0.46789525898100104,41.56806245636901,872.0,244.0,0.9644165415449867,52.07534095607613,1648.0,260,1,2,S_1260_S2_1_VRG.csv
0.9807147673634524,0.7221651738560462,1.7013196692839232,12,11,204.0,1.0739671929795254,39.96612733060134,476.0,196.0,1.150857129234785,24.56449486645429,452.0,14,2,1,S_2014_S1_1_VRG.csv
0.7915521758578823,0.5430579144436001,1.825902177581316,11,11,220.0,0.6605373344984969,41.21865421100945,384.0,248.0,0.7738917347285247,52.3265040976304,404.0,433,3,1,S_3433_S1_1_VRG.csv
0.9462038445581524,0.12973727512175817,1.5523764345861712,12,11,244.0,1.0217207336788423,46.64097596874894,1660.0,228.0,1.2220038739623886,189.39637187540137,360.0,332,1,2,S_1332_S2_1_VRG.csv
0.9153896961690885,0.7050073448323159,1.6797573864328577,12,11,212.0,1.1187743773835475,35.244349482313474,452.0,220.0,1.0142612486116196,24.231181097775778,436.0,384,1,2,S_1384_S2_1_VRG.csv
0.8818650076928223,0.6076092678798157,1.7066451025181983,12,11,320.0,0.8526051667951914,65.95306417318048,544.0,188.0,0.8634246145486812,19.70577732163692,348.0,105,1,1,S_1105_S1_1_VRG.csv
0.8968951376684241,0.7274005673592715,1.7615803043571479,11,11,208.0,0.9344288698674331,44.91865601302114,372.0,196.0,0.9805531105624458,30.538113873753602,328.0,261,1,2,S_1261_S2_1_VRG.csv
0.8803452334248725,0.08566232176620316,1.8891353880636075,12,10,284.0,0.688454939309747,49.74717272268958,528.0,72.0,0.5594369409513106,230.82830357421935,680.0,194,1,2,S_1194_S2_1_VRG.csv
0.9636622268201216,0.7672564297827043,1.6938407275420868,11,11,216.0,0.866221121621679,23.345619303110077,380.0,192.0,1.071362275928743,35.34390844216362,332.0,9,2,1,S_2009_S1_1_VRG.csv
0.9856134274676969,0.6364166837383629,1.8530528007953837,11,11,216.0,0.9555243403382946,20.217328129321533,456.0,200.0,1.0101815408354704,15.126606612587912,544.0,120,1,2,S_1120_S2_1_VRG.csv
0.8968469963491537,0.6772823064860082,1.7896471109329628,12,11,184.0,1.178023025737564,21.029091888369987,356.0,204.0,1.1482323279599285,80.12959683812626,392.0,203,1,1,S_1203_S1_1_VRG.csv
0.7712452194204965,0.7705547250555375,1.8108619309843936,10,11,192.0,1.41371672144272,94.1786846546464,324.0,204.0,1.4181243351881296,93.38356854108731,376.0,268,1,2,S_1268_S2_1_VRG.csv
0.9612614502482344,0.7602567278048987,1.7477684753804832,12,11,184.0,1.35496335828855,26.820452962860287,448.0,176.0,1.2770050156396853,38.77213641122845,348.0,102,1,2,S_1102_S2_1_VRG.csv
0.7887197276289587,0.5322290084305984,1.7670186875250522,11,11,236.0,1.1760997089990994,61.62256865517745,712.0,260.0,1.1636673677519913,134.9135825095864,664.0,436,1,2,S_1436_S2_1_VRG.csv
0.6133098400650583,0.5320660564141018,1.8667189400729924,7,8,204.0,1.2226270057051096,153.2667236369977,340.0,408.0,1.1026820317515569,176.55239244760511,444.0,94,1,2,S_1094_S2_1_VRG.csv
0.9785754034501948,0.6273568547305939,1.7279542727466843,11,11,256.0,0.9791046124202921,21.37152680410015,844.0,164.0,0.9790925196829448,32.00659713990339,472.0,248,1,1,S_1248_S1_1_VRG.csv
0.9276801288071918,0.683360575700382,1.8585815050027676,11,11,236.0,1.1524702116183627,23.574732679431552,652.0,212.0,1.08615310420432,24.19495853451514,528.0,13,1,2,S_1013_S2_1_VRG.csv
0.9779502902994325,0.7144542740109251,1.7619205822178792,11,11,224.0,1.0362339743561324,45.28144327569583,396.0,208.0,1.1361058420201473,21.437899918755665,372.0,231,1,2,S_1231_S2_1_VRG.csv
0.991227504353996,0.6205040388304268,1.9225492984377635,11,11,220.0,1.1178315072750427,22.906745583547327,964.0,208.0,1.1072268625126045,28.998748093066574,424.0,114,1,2,S_1114_S2_1_VRG.csv
0.8459626494693,0.6273339565306695,1.8769125834548017,10,11,192.0,1.0631713468003894,39.53376463417513,464.0,244.0,1.0132638556628741,52.25433529111956,780.0,439,1,2,S_1439_S2_1_VRG.csv
0.9923309918154283,0.7377104432638754,1.7233010271524751,11,11,220.0,1.3967640158708778,29.48576605859532,536.0,188.0,1.4043874336217592,37.58609378774458,380.0,437,1,1,S_1437_S1_1_VRG.csv
